date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:14	2818/2818	---MCZ	200	added ('OK')	application/javascript	etag:W/%221108-57bbba7362e80%22	http://html.codedthemes.com/datta-able/bootstrap/assets/js/pages/google-maps.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/js/pages/google-maps.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-google.html)
20:26:15	45950/45950	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b37e-57bbba7b04080%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/google-maps/js/gmaps.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/google-maps/js/gmaps.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-google.html)
20:26:15	6067/6067	---MCZ	200	added ('OK')	text/css	etag:W/%2219b2-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/css/jquery-jvectormap-2.0.2.css	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/css/jquery-jvectormap-2.0.2.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:16	2016/2016	---MCZ	200	added ('OK')	application/javascript	etag:W/%22abf-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/gdp-data.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/gdp-data.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:20	104822/104822	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219976-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-2.0.2.min.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-2.0.2.min.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:20	51860/51860	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cad8-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-au-mill.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-au-mill.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:22	102109/102109	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218ff8-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-asia-mill.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-asia-mill.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:26	2136674/2136674	---MCZ	200	added ('OK')	application/javascript	etag:W/%22209a62-57bbba7b04080%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/data-tables/js/datatables.min.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/data-tables/js/datatables.min.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/tbl_datatable.html)
20:26:26	80465/80465	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a51-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-de-mill.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-de-mill.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:28	114606/114606	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bfae-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-in-mill.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-in-mill.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:29	201111/201111	---MCZ	200	added ('OK')	application/javascript	etag:W/%22311f4-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-ca-lcc.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-ca-lcc.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:30	62752/62752	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f520-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-uk-mill-en.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-uk-mill-en.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:31	2316/2316	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215d5-57bbba7362e80%22	http://html.codedthemes.com/datta-able/bootstrap/assets/js/pages/map-vector.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/js/pages/map-vector.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:31	38213/38213	---MCZ	200	added ('OK')	application/javascript	etag:W/%2296e2-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-us-il-chicago-mill-en.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-us-il-chicago-mill-en.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
20:26:32	2214/2214	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cbe-57bbba7362e80%22	http://html.codedthemes.com/datta-able/bootstrap/assets/js/pages/map-api.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/js/pages/map-api.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-api.html)
20:26:32	111750/111750	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b5c3-57bbba82a5280%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-us-aea-en.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/vector-maps/js/jquery-jvectormap-us-aea-en.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/map-vector.html)
